variant,component_correlation,delta,n,distribution,effect_size,rejection_rate_mean,rejection_rate_std,indeterminate_rate_mean,indeterminate_rate_std,type1_error_mean,type1_error_std,power_mean,power_std,avg_successful_sims
modified,moderate,0.1,20,normal,0.0,0.042,0.02785677655436824,0.015999999999999997,0.011999999999999999,0.042,0.02785677655436824,,,100.0
original,strong,0.1,20,normal,0.0,0.038,0.02135415650406262,0.0,0.0,0.038,0.02135415650406262,,,100.0
modified,strong,0.1,20,normal,0.0,0.034,0.013564659966250536,0.022000000000000002,0.0132664991614216,0.034,0.013564659966250536,,,100.0
original,independent,0.1,20,normal,0.5,0.584,0.059866518188383074,0.0,0.0,,,0.584,0.059866518188383074,100.0
modified,independent,0.1,20,normal,0.5,0.5479999999999999,0.05344155686354953,0.06200000000000001,0.023999999999999997,,,0.5479999999999999,0.05344155686354953,100.0
original,moderate,0.1,20,normal,0.5,0.6060000000000001,0.04317406628984581,0.0,0.0,,,0.6060000000000001,0.04317406628984581,100.0
modified,moderate,0.1,20,normal,0.5,0.564,0.03440930106817049,0.072,0.027129319932501072,,,0.564,0.03440930106817049,100.0
original,strong,0.1,20,normal,0.5,0.5940000000000001,0.042237424163885734,0.0,0.0,,,0.5940000000000001,0.042237424163885734,100.0
modified,strong,0.1,20,normal,0.5,0.55,0.032863353450309954,0.07600000000000001,0.007999999999999995,,,0.55,0.032863353450309954,100.0
original,independent,0.25,20,normal,0.0,0.04,0.010954451150103323,0.0,0.0,0.04,0.010954451150103323,,,100.0
modified,independent,0.25,20,normal,0.0,0.032,0.004,0.016,0.013564659966250536,0.032,0.004,,,100.0
original,moderate,0.25,20,normal,0.0,0.054000000000000006,0.017435595774162694,0.0,0.0,0.054000000000000006,0.017435595774162694,,,100.0
modified,moderate,0.25,20,normal,0.0,0.038,0.016,0.026000000000000002,0.008,0.038,0.016,,,100.0
original,strong,0.25,20,normal,0.0,0.041999999999999996,0.02039607805437114,0.0,0.0,0.041999999999999996,0.02039607805437114,,,100.0
modified,strong,0.25,20,normal,0.0,0.024,0.017435595774162694,0.027999999999999997,0.0132664991614216,0.024,0.017435595774162694,,,100.0
original,independent,0.25,20,normal,0.5,0.5800000000000001,0.02828427124746188,0.0,0.0,,,0.5800000000000001,0.02828427124746188,100.0
modified,independent,0.25,20,normal,0.5,0.558,0.03544009029333869,0.066,0.04317406628984581,,,0.558,0.03544009029333869,100.0
original,moderate,0.25,20,normal,0.5,0.616,0.04317406628984581,0.0,0.0,,,0.616,0.04317406628984581,100.0
modified,moderate,0.25,20,normal,0.5,0.5700000000000001,0.034641016151377525,0.072,0.02315167380558045,,,0.5700000000000001,0.034641016151377525,100.0
original,strong,0.25,20,normal,0.5,0.576,0.05122499389946279,0.0,0.0,,,0.576,0.05122499389946279,100.0
modified,strong,0.25,20,normal,0.5,0.53,0.03847076812334268,0.08600000000000001,0.013564659966250538,,,0.53,0.03847076812334268,100.0
original,independent,0.0,100,normal,0.0,0.062,0.017204650534085254,0.0,0.0,0.062,0.017204650534085254,,,100.0
modified,independent,0.0,100,normal,0.0,0.046,0.010198039027185569,0.036000000000000004,0.017435595774162694,0.046,0.010198039027185569,,,100.0
original,moderate,0.0,100,normal,0.0,0.048,0.019390719429665318,0.0,0.0,0.048,0.019390719429665318,,,100.0
modified,moderate,0.0,100,normal,0.0,0.041999999999999996,0.014696938456699069,0.038,0.018330302779823362,0.041999999999999996,0.014696938456699069,,,100.0
original,strong,0.0,100,normal,0.0,0.064,0.013564659966250536,0.0,0.0,0.064,0.013564659966250536,,,100.0
modified,strong,0.0,100,normal,0.0,0.044,0.014966629547095768,0.032,0.009797958971132713,0.044,0.014966629547095768,,,100.0
original,independent,0.0,100,normal,0.5,0.998,0.0040000000000000036,0.0,0.0,,,0.998,0.0040000000000000036,100.0
modified,independent,0.0,100,normal,0.5,0.998,0.0040000000000000036,0.0,0.0,,,0.998,0.0040000000000000036,100.0
