method,component_correlation,delta,n,distribution,effect_size,rejection_rate_mean,rejection_rate_std,indeterminate_rate_mean,indeterminate_rate_std,type1_error_mean,type1_error_std,power_mean,power_std,avg_successful_sims
robust,independent,0.5,20,normal,0.5,0.77,0.011366617790706269,0.0,0.0,,,0.77,0.011366617790706269,1000.0
interval,independent,0.5,20,normal,0.5,0.72,0.006418722614352491,0.0242,0.004578209256903839,,,0.72,0.006418722614352491,1000.0
robust,moderate,0.5,20,normal,0.5,0.7692,0.011754148203932103,0.0,0.0,,,0.7692,0.011754148203932103,1000.0
interval,moderate,0.5,20,normal,0.5,0.7422,0.01160000000000001,0.0252,0.002993325909419153,,,0.7422,0.01160000000000001,1000.0
robust,independent,0.5,20,normal,1.0,0.9996,0.0004898979485566361,0.0,0.0,,,0.9996,0.0004898979485566361,1000.0
interval,independent,0.5,20,normal,1.0,0.9994,0.0004898979485566361,0.0,0.0,,,0.9994,0.0004898979485566361,1000.0
robust,moderate,0.5,20,normal,1.0,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
interval,moderate,0.5,20,normal,1.0,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
robust,independent,0.0,500,normal,0.0,0.0526,0.003826225293941799,0.0,0.0,0.0526,0.003826225293941799,,,1000.0
interval,independent,0.0,500,normal,0.0,0.0512,0.0019390719429665305,0.0064,0.001743559577416269,0.0512,0.0019390719429665305,,,1000.0
robust,moderate,0.0,500,normal,0.0,0.053000000000000005,0.002607680962081059,0.0,0.0,0.053000000000000005,0.002607680962081059,,,1000.0
interval,moderate,0.0,500,normal,0.0,0.0496,0.0028705400188814645,0.007200000000000001,0.002481934729198171,0.0496,0.0028705400188814645,,,1000.0
robust,independent,0.0,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
interval,independent,0.0,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
robust,moderate,0.0,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
interval,moderate,0.0,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
robust,independent,0.0,500,normal,1.0,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
interval,independent,0.0,500,normal,1.0,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
robust,moderate,0.0,500,normal,1.0,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
interval,moderate,0.0,500,normal,1.0,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
robust,independent,0.1,500,normal,0.0,0.0538,0.006046486583132391,0.0,0.0,0.0538,0.006046486583132391,,,1000.0
interval,independent,0.1,500,normal,0.0,0.0484,0.004270831300812525,0.006,0.0018973665961010276,0.0484,0.004270831300812525,,,1000.0
robust,moderate,0.1,500,normal,0.0,0.051000000000000004,0.00660302960768767,0.0,0.0,0.051000000000000004,0.00660302960768767,,,1000.0
interval,moderate,0.1,500,normal,0.0,0.0474,0.005276362383309167,0.006799999999999999,0.0018330302779823358,0.0474,0.005276362383309167,,,1000.0
robust,independent,0.1,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
interval,independent,0.1,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
robust,moderate,0.1,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
interval,moderate,0.1,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
robust,independent,0.1,500,normal,1.0,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
interval,independent,0.1,500,normal,1.0,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
robust,moderate,0.1,500,normal,1.0,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
interval,moderate,0.1,500,normal,1.0,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
robust,independent,0.25,500,normal,0.0,0.0522,0.006337191807101944,0.0,0.0,0.0522,0.006337191807101944,,,1000.0
interval,independent,0.25,500,normal,0.0,0.047799999999999995,0.004069397989875161,0.006799999999999999,0.00331058907144937,0.047799999999999995,0.004069397989875161,,,1000.0
robust,moderate,0.25,500,normal,0.0,0.0474,0.007255342858886822,0.0,0.0,0.0474,0.007255342858886822,,,1000.0
interval,moderate,0.25,500,normal,0.0,0.04460000000000001,0.006468384651518491,0.007400000000000001,0.0033823069050575526,0.04460000000000001,0.006468384651518491,,,1000.0
robust,independent,0.25,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
interval,independent,0.25,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
robust,moderate,0.25,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
interval,moderate,0.25,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
robust,independent,0.25,500,normal,1.0,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
interval,independent,0.25,500,normal,1.0,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
robust,moderate,0.25,500,normal,1.0,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
interval,moderate,0.25,500,normal,1.0,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
robust,independent,0.5,500,normal,0.0,0.0488,0.005844655678480983,0.0,0.0,0.0488,0.005844655678480983,,,1000.0
interval,independent,0.5,500,normal,0.0,0.048,0.006603029607687671,0.0062,0.0014696938456699065,0.048,0.006603029607687671,,,1000.0
robust,moderate,0.5,500,normal,0.0,0.045799999999999993,0.004995998398718719,0.0,0.0,0.045799999999999993,0.004995998398718719,,,1000.0
interval,moderate,0.5,500,normal,0.0,0.043,0.005477225575051661,0.006999999999999999,0.000632455532033676,0.043,0.005477225575051661,,,1000.0
robust,independent,0.5,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
interval,independent,0.5,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
robust,moderate,0.5,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
interval,moderate,0.5,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
robust,independent,0.5,500,normal,1.0,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
interval,independent,0.5,500,normal,1.0,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
robust,moderate,0.5,500,normal,1.0,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
interval,moderate,0.5,500,normal,1.0,1.0,0.0,0.0,0.0,,,1.0,0.0,1000.0
